序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
190	519112	浦银收益C	9月13日	1.543	1.553	0.06%	0.19%	0.13%	1.92%	2.87%	6.64%	20.00%	27.44%	3.21%	55.85%
191	002139	泓德裕泰债券	9月13日	1.033	1.033	0.00%	0.19%	0.58%	2.79%	1.97%	---	---	---	3.20%	3.30%
192	002138	泓德裕泰债券	9月13日	1.035	1.035	0.00%	0.19%	0.58%	2.88%	2.27%	---	---	---	3.40%	3.50%
193	002595	博时工业4.	9月13日	1.046	1.046	0.29%	0.19%	3.06%	4.30%	---	---	---	---	---	4.30%
194	001230	鹏华医药科技	9月13日	0.523	0.523	0.00%	0.19%	2.35%	2.75%	12.72%	4.39%	---	---	-19.79%	-47.70%
195	001019	兴业年年利定	9月9日	1.049	1.109	---	0.19%	0.77%	2.84%	2.64%	5.40%	---	---	3.05%	11.09%
196	040036	华安安心收益	9月13日	1.057	1.468	0.09%	0.19%	-0.38%	0.96%	3.43%	2.30%	31.77%	40.46%	-4.37%	52.20%
197	000629	圆信永丰纯债	9月13日	1.059	1.239	0.09%	0.19%	0.76%	3.73%	3.73%	7.23%	21.45%	---	4.35%	24.49%
198	519663	银河岁岁回报	9月13日	1.593	1.593	0.00%	0.19%	0.82%	3.78%	4.05%	8.00%	40.48%	59.14%	5.01%	59.30%
199	000744	北信瑞丰稳定	9月12日	1.065	1.235	0.00%	0.19%	0.19%	1.43%	1.62%	4.36%	24.69%	---	2.21%	24.94%
200	164819	工银中证环保	9月13日	0.8023	0.8171	0.28%	0.19%	3.36%	6.69%	18.31%	-3.59%	---	---	-15.82%	-18.63%
201	000202	富国目标收益	9月9日	1.072	1.268	0.00%	0.19%	0.85%	2.77%	3.06%	6.14%	18.99%	---	4.93%	29.06%
202	253061	国联安信心增	9月13日	1.083	1.217	0.00%	0.19%	0.65%	2.07%	2.75%	3.06%	13.06%	12.67%	0.04%	22.75%
203	000254	长城增强收益	9月13日	1.088	1.308	0.00%	0.18%	0.18%	3.20%	3.01%	7.58%	23.23%	33.49%	5.61%	33.49%
204	000255	长城增强收益	9月13日	1.088	1.294	-0.09%	0.18%	0.18%	3.10%	2.91%	7.22%	22.33%	32.03%	5.32%	32.03%
205	000247	方正富邦互利	9月9日	1.092	1.092	---	0.18%	1.20%	2.73%	2.44%	1.49%	2.15%	---	-1.89%	9.20%
206	519121	浦银6个月定	9月9日	1.096	1.181	---	0.18%	0.46%	2.62%	3.01%	6.27%	16.98%	19.83%	3.58%	18.39%
207	001572	嘉合磐石C	9月13日	1.098	1.098	0.00%	0.18%	0.18%	0.55%	3.10%	5.48%	---	---	2.91%	9.80%
208	168201	中融一带一路	9月13日	1.098	0.457	-0.45%	0.18%	1.75%	6.36%	6.88%	-15.04%	---	---	-18.12%	-54.20%
209	166905	民生加银添利	9月13日	1.106	1.32	0.00%	0.18%	0.64%	3.72%	3.81%	8.06%	25.14%	34.39%	4.74%	34.66%
210	166904	民生加银添利	9月13日	1.109	1.334	0.00%	0.18%	0.73%	3.90%	3.99%	8.53%	26.16%	35.93%	5.02%	36.34%
211	519129	浦银安盛月月	9月9日	1.11	1.11	---	0.18%	0.73%	2.97%	3.93%	7.25%	---	---	4.23%	11.00%
212	255010	国联安稳健	9月13日	1.13	3.13	1.07%	0.18%	0.99%	6.17%	18.86%	20.38%	61.59%	79.16%	-3.94%	362.10%
213	582001	东吴优信稳健	9月13日	1.1211	1.1331	-0.04%	0.18%	0.50%	-0.05%	2.66%	-2.07%	2.08%	6.01%	-4.28%	13.49%
214	000165	国投瑞银策略	9月13日	1.688	2.06	0.24%	0.18%	1.58%	4.48%	12.13%	16.61%	71.87%	---	1.29%	116.95%
215	000844	南方绝对收益	9月12日	1.127	1.157	0.18%	0.18%	-0.09%	0.09%	0.71%	0.90%	---	---	0.27%	15.96%
216	000553	中加纯债一年	9月9日	1.131	1.303	---	0.18%	1.25%	3.57%	4.60%	10.25%	25.90%	---	5.75%	31.81%
217	000474	广发集鑫债券	9月13日	1.145	1.18	0.00%	0.18%	0.70%	1.78%	4.09%	0.53%	12.86%	---	-1.63%	18.28%
218	582201	东吴优信稳健	9月13日	1.0907	1.1027	-0.05%	0.17%	0.48%	-0.14%	2.48%	-2.43%	1.37%	4.80%	-4.52%	8.08%
219	050116	博时宏观债券	9月13日	1.154	1.197	0.00%	0.17%	-0.43%	0.61%	1.32%	5.48%	12.38%	9.36%	-6.10%	19.68%
220	160918	大成中小盘混	9月13日	1.796	4.601	0.17%	0.17%	3.46%	-0.22%	10.68%	10.75%	80.93%	---	-20.63%	98.78%
221	217022	招商产业债券	9月13日	1.228	1.468	0.00%	0.16%	0.41%	3.19%	2.68%	7.53%	25.54%	37.00%	4.42%	53.82%
222	519051	海富通一年定	9月9日	1.843	1.843	---	0.16%	0.66%	2.39%	2.56%	4.89%	71.12%	---	3.13%	84.30%
223	090017	大成可转债增	9月13日	1.241	1.251	0.16%	0.16%	0.90%	3.86%	4.12%	-3.43%	11.02%	17.44%	-15.43%	25.06%
224	090007	大成策略回报	9月13日	1.244	2.515	0.08%	0.16%	-0.24%	4.72%	22.22%	18.71%	67.19%	102.24%	0.26%	261.72%
225	001061	华夏海外收益	9月12日	1.245	1.329	0.00%	0.16%	0.57%	5.15%	10.86%	18.38%	21.00%	34.08%	11.15%	34.08%
226	372110	上投强化债券	9月13日	1.264	1.311	0.00%	0.16%	0.24%	1.12%	1.44%	2.27%	21.31%	20.76%	0.64%	32.33%
227	000367	国泰安康养老	9月13日	1.296	1.296	0.31%	0.16%	1.33%	-2.86%	7.13%	7.58%	23.16%	---	3.69%	29.20%
228	410004	华富增强债券	9月13日	1.7504	2.0624	0.07%	0.15%	0.50%	2.79%	3.57%	5.99%	37.00%	51.06%	3.30%	129.81%
229	080010	长盛同禧信增	9月13日	1.304	1.304	0.38%	0.15%	0.08%	1.41%	-0.99%	-0.61%	27.73%	36.59%	-2.18%	29.90%
230	200013	长城积极增利	9月13日	1.318	1.516	0.00%	0.15%	0.18%	2.25%	2.25%	6.08%	27.53%	37.35%	3.62%	55.49%
231	000538	诺安优势行业	9月13日	1.328	1.328	0.00%	0.15%	0.84%	1.84%	3.99%	6.07%	30.45%	---	2.15%	32.80%
232	410005	华富增强债券	9月13日	1.7347	2.0167	0.06%	0.15%	0.47%	2.69%	3.37%	5.57%	35.89%	49.24%	3.01%	122.14%
233	002804	华泰柏瑞量化	9月13日	1.0062	1.0062	-0.03%	0.15%	-0.19%	0.67%	---	---	---	---	---	0.65%
234	000556	国投新机遇混	9月13日	1.363	1.383	0.00%	0.15%	0.37%	1.49%	2.33%	4.85%	33.71%	---	2.02%	38.52%
235	000770	长城久盈纯债	9月13日	1.378	1.378	0.00%	0.15%	0.00%	2.91%	3.45%	8.68%	---	---	4.16%	37.80%
236	020022	国泰保本	9月13日	1.387	1.549	0.36%	0.14%	3.52%	1.69%	8.56%	9.60%	31.62%	42.89%	4.70%	54.33%
237	000386	景顺长城景颐	9月13日	1.405	1.405	0.29%	0.14%	0.50%	2.26%	3.78%	4.79%	29.12%	---	0.07%	40.10%
238	000385	景顺长城景颐	9月13日	1.42	1.42	0.28%	0.14%	0.57%	2.39%	3.96%	5.20%	30.15%	---	0.35%	41.60%
239	000696	汇添富环保行	9月13日	1.427	1.427	0.71%	0.14%	5.43%	8.00%	22.58%	17.50%	---	---	-8.23%	41.70%
240	167503	安信一带一路	9月13日	0.737	0.386	-0.41%	0.14%	1.65%	6.02%	6.47%	-14.67%	---	---	-18.59%	-52.24%
241	000215	广发趋势优选	9月13日	1.485	1.485	0.07%	0.14%	0.41%	4.73%	7.38%	7.15%	34.54%	48.40%	6.23%	48.40%
242	090002	大成债券A/	9月13日	1.0833	2.0566	0.04%	0.13%	0.17%	2.29%	2.19%	8.59%	35.45%	45.68%	2.60%	164.44%
243	002506	招商招盈18	9月9日	1.0114	1.0114	---	0.13%	0.45%	1.12%	---	---	---	---	---	1.14%
244	092002	大成债券C	9月13日	1.0999	2.0079	0.04%	0.13%	0.15%	2.21%	2.03%	8.28%	34.62%	44.24%	2.39%	111.81%
245	217009	招商核心价值	9月13日	1.1204	1.2404	-0.12%	0.12%	1.66%	5.00%	13.06%	5.41%	28.08%	36.71%	-12.48%	24.94%
246	166008	中欧增强回报	9月13日	1.0444	1.4348	0.02%	0.12%	0.34%	2.74%	2.55%	8.77%	29.48%	37.02%	3.96%	50.50%
247	519060	海富通纯债债	9月13日	1.631	2.163	-0.06%	0.12%	0.31%	2.51%	2.00%	2.64%	97.55%	---	1.43%	117.50%
248	519061	海富通纯债债	9月13日	1.643	2.183	0.00%	0.12%	0.31%	2.56%	2.18%	2.93%	98.50%	---	1.67%	119.54%
249	001220	民生加银研究	9月13日	0.839	0.839	0.96%	0.12%	1.47%	5.59%	10.80%	-0.36%	---	---	-13.71%	-16.90%
250	003130	信诚稳利C	9月9日	1.0009	1.0009	---	0.12%	0.09%	---	---	---	---	---	---	0.09%
251	003121	信诚稳利A	9月9日	1.001	1.001	---	0.12%	0.09%	---	---	---	---	---	---	0.10%
252	002984	广发环保指数	9月13日	0.7732	0.7732	0.30%	0.12%	3.57%	---	---	---	---	---	---	2.60%
253	000209	信诚新兴产业	9月13日	1.732	1.732	0.41%	0.12%	2.19%	-4.49%	10.51%	11.22%	49.87%	72.16%	-24.97%	72.50%
254	160720	嘉实中证中期	9月12日	1.2109	1.2109	0.07%	0.12%	0.05%	2.78%	2.34%	7.14%	15.41%	20.88%	3.48%	21.09%
255	160721	嘉实中证中期	9月12日	1.216	1.216	0.07%	0.12%	0.04%	2.73%	2.28%	7.02%	16.55%	21.65%	3.39%	21.60%
256	161115	易方达岁丰添	9月13日	1.764	1.908	0.06%	0.11%	0.46%	2.62%	2.14%	6.98%	63.85%	76.12%	2.80%	102.77%
257	020005	国泰金马稳健	9月13日	0.886	3.664	0.34%	0.11%	4.99%	8.74%	29.47%	16.64%	31.20%	16.18%	4.87%	286.50%
258	320004	诺安优化收益	9月13日	1.3769	1.7565	-0.03%	0.11%	0.80%	3.18%	2.73%	7.04%	25.16%	37.81%	1.12%	91.54%
259	519185	万家精选混合	9月13日	1.9463	2.1213	-0.42%	0.11%	3.22%	16.25%	23.74%	33.08%	104.34%	90.07%	5.85%	121.70%
260	001064	广发环保指数	9月13日	0.7736	0.7736	0.31%	0.10%	3.57%	7.33%	20.46%	5.72%	---	---	-13.60%	-22.88%
261	002655	南方卓享绝对	9月12日	0.993	0.993	0.10%	0.10%	-0.30%	-0.70%	---	---	---	---	---	-0.70%
262	000151	诺安信用一年	9月9日	0.998	1.313	---	0.10%	-0.30%	2.47%	2.77%	5.38%	20.81%	30.03%	3.46%	31.33%
263	001984	上投摩根智慧	9月13日	1.002	1.002	0.40%	0.10%	1.11%	-0.20%	---	---	---	---	---	-0.20%
264	001936	国泰全球绝对	9月12日	1.001	1.001	0.10%	0.10%	-0.89%	0.10%	0.70%	---	---	---	-1.28%	0.00%
265	000675	中海惠祥分级	9月13日	1.001	1.093	0.00%	0.10%	0.30%	0.99%	2.00%	4.24%	9.41%	---	2.91%	9.63%
266	002777	招商安荣保本	9月13日	1.001	1.001	0.00%	0.10%	0.10%	---	---	---	---	---	---	0.10%
267	000329	鹏华丰饶定开	9月9日	1.001	1.001	---	0.10%	---	---	---	---	---	---	---	0.10%
268	002528	泰康安益纯债	9月9日	1.001	1.001	---	0.10%	---	---	---	---	---	---	---	0.10%
269	002527	南方安享绝对	9月12日	1.001	1.001	0.10%	0.10%	0.10%	-0.30%	---	---	---	---	---	0.10%
270	002474	中邮睿信增强	9月9日	1.001	1.001	---	0.10%	---	---	---	---	---	---	---	0.10%
271	002529	泰康安益纯债	9月9日	1.001	1.001	---	0.10%	---	---	---	---	---	---	---	0.10%
272	002924	华商瑞鑫定开	9月9日	1.001	1.001	---	0.10%	---	---	---	---	---	---	---	0.10%
273	519167	新华鑫安保本	9月9日	1.003	1.252	---	0.10%	0.20%	-0.43%	-0.70%	2.40%	20.97%	---	-2.66%	25.20%
274	002738	泓德裕康债券	9月13日	1.002	1.002	0.00%	0.10%	0.10%	---	---	---	---	---	---	0.20%
275	519134	海富通富祥混	9月13日	1.002	1.002	0.00%	0.10%	0.10%	---	---	---	---	---	---	0.20%
276	002574	招商瑞庆混合	9月9日	1.002	1.002	---	0.10%	---	---	---	---	---	---	---	0.20%
277	002213	中海顺鑫保本	9月9日	1.003	1.003	---	0.10%	0.00%	-0.20%	-0.10%	---	---	---	0.30%	0.30%
278	002856	博时保丰保本	9月9日	1.003	1.003	---	0.10%	0.10%	0.30%	---	---	---	---	---	0.30%
279	002628	招商安博保本	9月13日	1.005	1.005	0.00%	0.10%	0.10%	0.50%	---	---	---	---	---	0.50%
280	002745	北信瑞丰丰利	9月12日	1.005	1.005	-0.10%	0.10%	0.20%	---	---	---	---	---	---	0.50%
281	000066	诺安鸿鑫保本	9月13日	1.008	1.423	0.10%	0.10%	0.20%	0.70%	2.99%	2.84%	30.15%	39.75%	-1.51%	42.12%
282	161828	银华永益分级	9月13日	1.008	1.099	0.00%	0.10%	0.20%	0.70%	1.44%	3.40%	8.19%	---	2.15%	9.93%
283	000317	中海惠利纯债	9月13日	1.009	1.126	0.00%	0.10%	0.40%	1.10%	1.90%	3.43%	8.24%	---	2.61%	12.50%
284	000910	鑫元合丰分级	9月9日	1.009	1.088	---	0.10%	0.40%	0.96%	2.15%	4.71%	---	---	2.97%	8.84%
285	550015	信诚添金分级	9月13日	1	1.162	0.00%	0.10%	0.40%	1.00%	1.86%	3.71%	8.57%	13.88%	2.54%	17.52%
286	000387	泰达宏利瑞利	9月13日	1.01	1.117	0.00%	0.10%	0.30%	0.80%	1.54%	3.13%	7.94%	---	2.05%	12.24%
287	000357	大成景祥分级	9月13日	1.011	1.129	0.00%	0.10%	0.30%	0.90%	1.79%	3.92%	9.13%	---	2.61%	13.58%
288	002801	泓德泓信混合	9月9日	1.01	1.01	---	0.10%	0.40%	1.00%	---	---	---	---	---	1.00%
289	164704	汇添富互利分	9月13日	1.011	1.126	0.00%	0.10%	0.30%	0.80%	1.59%	3.18%	7.98%	---	2.10%	12.65%
290	166022	中欧添A	9月9日	1.01	1.12	---	0.10%	0.30%	0.90%	1.80%	3.72%	8.41%	---	2.41%	12.60%
291	000501	华富恒富分级	9月9日	1.013	1.104	---	0.10%	0.30%	0.80%	1.50%	2.88%	7.89%	---	2.01%	10.48%
292	002554	信达澳银纯债	9月13日	1.014	1.014	0.10%	0.10%	0.40%	1.10%	---	---	---	---	---	1.30%
293	519321	浦银安盛幸福	9月9日	1.013	1.013	---	0.10%	0.20%	1.20%	---	---	---	---	---	1.30%
294	002811	博时裕顺纯债	9月13日	1.013	1.013	0.00%	0.10%	0.40%	---	---	---	---	---	---	1.30%
295	000292	鹏华丰信分级	9月13日	1.014	1.13	0.00%	0.10%	0.30%	0.90%	1.77%	3.76%	8.54%	---	2.58%	12.97%
296	165705	诺德双翼债券	9月13日	1.014	1.24	0.00%	0.10%	-0.10%	0.90%	1.10%	4.54%	4.09%	13.24%	2.01%	27.59%
297	000649	长城久鑫保本	9月13日	1.018	1.246	0.10%	0.10%	0.10%	1.50%	1.70%	1.40%	23.88%	---	-1.55%	24.50%
298	000814	鑫元合享分级	9月9日	1.016	1.1	---	0.10%	0.40%	1.09%	2.16%	4.77%	---	---	3.07%	9.97%
299	002754	博时裕创纯债	9月13日	1.016	1.016	0.00%	0.10%	0.30%	1.60%	---	---	---	---	---	1.60%
300	000278	融通通泽灵活	9月13日	1.017	1.097	-0.10%	0.10%	0.00%	6.71%	3.25%	4.95%	17.93%	9.81%	2.62%	10.14%
301	000183	嘉实丰益策略	9月12日	1.018	1.248	-0.10%	0.10%	0.62%	2.62%	2.75%	7.02%	17.52%	26.13%	3.92%	26.13%
302	002727	华富诚鑫灵活	9月13日	1.018	1.018	0.00%	0.10%	0.59%	1.70%	---	---	---	---	---	1.80%
303	002726	华富诚鑫灵活	9月13日	1.018	1.018	0.00%	0.10%	0.49%	1.80%	---	---	---	---	---	1.80%
304	002755	博时裕盛纯债	9月13日	1.018	1.018	0.00%	0.10%	0.39%	1.70%	---	---	---	---	---	1.80%
305	000197	富国目标收益	9月9日	1.02	1.215	0.00%	0.10%	0.30%	0.78%	1.86%	5.39%	14.30%	21.35%	3.06%	23.29%
306	002764	大成景华一年	9月9日	1.019	1.019	---	0.10%	0.89%	---	---	---	---	---	---	1.90%
307	002570	华福长禧定开	9月9日	1.019	1.019	---	0.10%	0.59%	1.80%	---	---	---	---	---	1.90%
308	001212	华润元大稳健	9月13日	1.02	1.029	0.00%	0.10%	0.00%	1.23%	1.63%	---	---	---	2.43%	2.95%
309	002271	招商安弘保本	9月13日	1.02	1.02	0.00%	0.10%	0.20%	1.49%	1.49%	---	---	---	2.00%	2.00%
310	002763	大成景华一年	9月9日	1.02	1.02	---	0.10%	0.99%	---	---	---	---	---	---	2.00%
311	002042	国投瑞银新成	9月13日	1.021	1.021	0.00%	0.10%	0.29%	1.09%	1.39%	---	---	---	1.29%	2.10%
312	002242	国投瑞银瑞兴	9月13日	1.021	1.021	0.00%	0.10%	0.39%	1.29%	1.90%	---	---	---	2.10%	2.10%
313	340009	兴全磐稳增利	9月13日	1.3296	1.6176	0.02%	0.10%	0.42%	2.93%	3.24%	7.55%	39.64%	53.55%	4.47%	66.40%
314	162215	泰达宏利聚利	9月13日	1.024	1.558	0.00%	0.10%	0.29%	2.20%	2.13%	5.31%	21.49%	29.90%	2.33%	55.75%
315	002355	国投瑞银岁赢	9月9日	1.024	1.024	---	0.10%	0.39%	1.89%	---	---	---	---	---	2.40%
316	001575	华福稳健债券	9月12日	1.023	1.023	0.10%	0.10%	-0.20%	2.10%	1.99%	---	---	---	2.20%	2.30%
317	002367	国联安安稳保	9月13日	1.022	1.022	-0.10%	0.10%	0.39%	2.20%	2.30%	---	---	---	---	2.30%
318	470089	汇添富6月红	9月13日	1.027	1.046	0.10%	0.10%	0.00%	2.96%	4.29%	8.03%	16.52%	16.06%	3.87%	23.83%
319	002464	创金合信尊利	9月12日	1.026	1.026	0.00%	0.10%	0.59%	2.09%	2.50%	---	---	---	---	2.60%
320	164211	天弘同利分级	9月13日	1.028	1.129	0.00%	0.10%	0.29%	0.78%	1.38%	2.90%	7.84%	---	1.98%	12.91%
321	000465	景顺长城鑫月	9月13日	1.027	1.189	0.00%	0.10%	0.49%	2.60%	2.87%	5.68%	15.64%	---	3.92%	18.88%
322	001845	国寿安保稳定	9月13日	1.028	1.028	0.00%	0.10%	0.39%	1.08%	1.48%	---	---	---	1.68%	2.80%
323	002698	博时裕利纯债	9月13日	1.028	1.028	0.00%	0.10%	0.19%	2.59%	---	---	---	---	---	2.80%
324	002336	创金合信尊享	9月12日	1.029	1.032	0.00%	0.10%	0.00%	1.68%	3.21%	---	---	---	---	3.21%
325	020002	国泰金龙债券	9月13日	1.03	1.785	0.00%	0.10%	-0.10%	1.48%	1.78%	4.44%	19.77%	27.06%	2.93%	110.02%
326	470088	汇添富6月红	9月13日	1.029	1.048	0.00%	0.10%	0.10%	3.15%	4.59%	8.39%	17.23%	17.32%	4.18%	25.88%
327	519951	长信利泰灵活	9月13日	1.03	1.03	0.00%	0.10%	0.59%	2.69%	---	---	---	---	---	3.00%
328	001137	国投瑞银岁丰	9月9日	1.029	1.053	---	0.10%	1.48%	3.19%	3.50%	5.04%	---	---	2.89%	5.36%
329	260117	景顺长城支柱	9月13日	1.028	1.308	-0.29%	0.10%	1.58%	-1.81%	10.62%	-11.27%	12.23%	11.65%	-30.90%	29.51%
330	000352	国富恒丰定期	9月9日	1.031	1.236	---	0.10%	0.59%	2.70%	2.87%	5.52%	17.75%	---	3.56%	25.47%
331	163907	中海惠裕纯债	9月13日	1.033	1.323	0.00%	0.10%	0.39%	2.08%	1.67%	6.54%	20.41%	31.78%	3.96%	34.19%
332	160128	南方金利A	9月12日	1.035	1.349	0.10%	0.10%	0.19%	2.16%	1.97%	8.94%	20.51%	28.92%	3.22%	39.53%
333	001919	圆信永丰兴利	9月13日	1.035	1.035	0.00%	0.10%	0.19%	2.78%	3.40%	---	---	---	---	3.50%
334	000256	上投摩根红利	9月13日	1.037	1.314	0.10%	0.10%	0.39%	3.98%	5.13%	5.53%	21.53%	---	5.02%	34.36%
335	519720	交银纯债C	9月12日	1.036	1.187	0.00%	0.10%	-0.10%	1.87%	-0.48%	2.50%	11.71%	18.39%	0.09%	19.57%
336	001918	圆信永丰兴利	9月13日	1.036	1.036	0.00%	0.10%	0.19%	2.88%	3.50%	---	---	---	---	3.60%
337	001246	华福长乐定开	9月9日	1.037	1.102	---	0.10%	0.48%	2.47%	2.79%	8.45%	---	---	4.35%	10.40%
338	000504	中信建投稳信	9月12日	1.038	1.163	0.00%	0.10%	0.39%	2.06%	2.27%	4.91%	12.33%	---	2.95%	17.05%
339	001189	广发聚宝混合	9月13日	1.037	1.037	0.00%	0.10%	0.39%	2.17%	3.49%	1.77%	---	---	2.67%	3.70%
340	002074	圆信永丰兴融	9月13日	1.037	1.037	0.00%	0.10%	0.10%	2.88%	2.57%	---	---	---	3.60%	3.70%
341	160622	鹏华丰利债券	9月13日	1.039	1.213	0.00%	0.10%	0.68%	2.97%	3.63%	6.57%	24.05%	19.86%	4.53%	20.58%
342	002073	圆信永丰兴融	9月13日	1.039	1.039	0.00%	0.10%	0.10%	2.87%	2.67%	---	---	---	3.80%	3.90%
343	002771	安信新回报混	9月13日	1.04	1.04	0.00%	0.10%	0.97%	3.69%	---	---	---	---	---	4.00%
344	002770	安信新回报混	9月13日	1.041	1.041	0.10%	0.10%	0.97%	3.69%	---	---	---	---	---	4.00%
345	000502	华富恒富分级	9月9日	1.043	1.234	---	0.10%	0.48%	1.66%	2.46%	4.39%	18.29%	---	3.68%	24.33%
346	001486	天弘鑫安宝保	9月9日	1.0424	1.0424	---	0.10%	0.49%	2.31%	3.41%	---	---	---	3.33%	4.24%
347	001860	大摩增值18	9月9日	1.043	1.043	---	0.10%	1.26%	4.20%	4.30%	---	---	---	---	4.30%
348	020023	国泰事件驱动	9月13日	2.097	2.097	0.43%	0.10%	6.97%	9.32%	35.32%	15.49%	40.51%	40.89%	-3.38%	108.80%
349	001859	大摩增值18	9月9日	1.045	1.045	---	0.10%	1.26%	4.29%	4.50%	---	---	---	---	4.50%
350	000112	易方达纯债1	9月9日	1.046	1.218	---	0.10%	0.29%	1.47%	2.09%	5.49%	15.58%	22.44%	2.98%	22.69%
351	000299	中海纯债债券	9月13日	1.047	1.187	0.00%	0.10%	0.38%	4.08%	2.85%	6.72%	18.84%	---	4.85%	19.31%
352	261001	景顺长城稳定	9月13日	1.048	1.218	0.00%	0.10%	0.18%	2.46%	2.27%	6.81%	17.36%	14.59%	3.68%	22.39%
353	166903	民生加银平稳	9月13日	1.05	1.314	0.10%	0.10%	0.58%	3.23%	3.13%	6.35%	18.97%	28.62%	4.20%	34.75%
354	163211	诺安纯债定期	9月13日	1.048	1.366	0.00%	0.10%	0.96%	3.97%	4.74%	9.97%	25.19%	35.90%	6.29%	36.58%
355	000388	泰达宏利瑞利	9月13日	1.048	1.295	0.00%	0.10%	0.00%	1.95%	2.14%	5.70%	23.64%	---	3.05%	32.29%
356	000137	民生加银岁岁	9月12日	1.05	1.289	0.00%	0.10%	0.01%	3.27%	2.79%	6.75%	18.34%	30.36%	3.95%	30.88%
357	163210	诺安纯债定期	9月13日	1.05	1.385	0.00%	0.10%	1.06%	4.17%	4.94%	10.47%	26.28%	37.56%	6.64%	38.52%
358	000503	中信建投稳信	9月12日	1.051	1.176	0.00%	0.10%	0.38%	2.24%	2.54%	5.36%	13.43%	---	3.31%	18.42%
359	166902	民生加银平稳	9月13日	1.052	1.331	0.10%	0.10%	0.67%	3.32%	3.42%	6.84%	20.01%	30.25%	4.49%	36.84%
360	001615	中欧睿尚定期	9月9日	1.053	1.053	---	0.10%	0.57%	1.15%	3.13%	---	---	---	3.03%	5.30%
361	001348	大摩新机遇混	9月13日	1.053	1.053	-0.09%	0.10%	0.96%	4.36%	9.45%	8.88%	---	---	-9.45%	5.40%
362	000111	易方达纯债1	9月9日	1.055	1.23	---	0.09%	0.29%	1.47%	2.26%	5.83%	16.36%	23.62%	3.15%	24.00%
363	000782	国投岁增利一	9月9日	1.055	1.135	---	0.09%	0.57%	2.13%	2.03%	3.61%	---	---	1.93%	13.77%
364	000298	中海纯债债券	9月13日	1.055	1.195	0.00%	0.09%	0.29%	4.04%	2.93%	6.86%	19.39%	---	4.90%	20.11%
365	001029	国投瑞银新动	9月13日	1.057	1.107	0.09%	0.09%	0.28%	1.34%	2.23%	3.97%	---	---	2.23%	10.73%
366	040037	华安安心收益	9月13日	1.058	1.484	0.09%	0.09%	-0.56%	0.86%	3.12%	1.80%	33.11%	42.00%	-4.72%	54.01%
367	000027	泰达信用合利	9月13日	1.057	1.327	0.09%	0.09%	0.28%	1.25%	1.44%	3.80%	22.31%	34.71%	1.25%	34.17%
368	000490	光大保德信岁	9月13日	1.06	1.131	0.00%	0.09%	0.00%	1.73%	1.34%	4.71%	13.10%	---	2.81%	13.32%
369	166401	浦银安盛稳健	9月13日	1.062	1.062	0.00%	0.09%	0.38%	2.02%	2.21%	6.73%	13.89%	16.74%	3.61%	39.97%
370	000745	北信瑞丰稳定	9月12日	1.062	1.23	-0.09%	0.09%	0.09%	1.34%	1.43%	3.97%	24.21%	---	2.02%	24.33%
371	161014	富国汇利回报	9月13日	1.063	1.505	0.00%	0.09%	0.66%	3.51%	3.91%	6.53%	20.24%	29.91%	5.14%	54.98%
372	161216	国投瑞银双债	9月13日	1.062	1.538	-0.09%	0.09%	0.66%	3.00%	3.51%	3.38%	31.85%	41.86%	1.24%	65.60%
373	000781	国投岁增利一	9月9日	1.062	1.142	---	0.09%	0.57%	2.12%	2.21%	3.99%	---	---	2.12%	14.50%
374	000426	大成信用增利	9月13日	1.063	1.257	0.00%	0.09%	0.09%	2.11%	1.92%	5.72%	18.63%	---	2.79%	26.22%
375	000765	上投岁岁盈定	9月12日	1.065	1.065	0.00%	0.09%	0.28%	1.91%	2.11%	4.41%	5.34%	---	3.00%	5.65%
376	161221	国投瑞银双债	9月13日	1.066	1.375	0.00%	0.09%	0.57%	2.80%	3.19%	2.87%	30.84%	---	0.95%	43.20%
377	000213	泰信鑫益定期	9月9日	1.067	1.207	---	0.09%	0.19%	1.33%	1.43%	4.79%	15.45%	20.74%	1.91%	21.35%
378	000026	泰达信用合利	9月13日	1.067	1.337	0.09%	0.09%	0.28%	1.33%	1.52%	4.07%	22.97%	35.66%	1.43%	35.39%
379	000188	华泰柏瑞丰盛	9月13日	1.068	1.206	0.00%	0.09%	-0.28%	1.71%	0.78%	3.89%	13.43%	21.49%	1.58%	21.49%
380	000583	江信聚福	9月9日	1.0682	1.3382	---	0.09%	0.52%	3.16%	3.46%	9.56%	31.33%	---	4.17%	38.03%
381	519945	长信富安纯债	9月9日	1.0682	1.0682	---	0.09%	0.71%	2.84%	3.63%	---	---	---	6.16%	6.82%
382	519119	浦银幸福B	9月9日	1.07	1.302	---	0.09%	0.66%	2.88%	3.18%	7.03%	19.25%	25.64%	4.09%	33.37%
383	166012	中欧信用增利	9月13日	1.07	1.26	0.00%	0.09%	0.09%	2.49%	2.10%	5.00%	11.75%	22.49%	3.48%	33.33%
384	161117	易方达永旭添	9月13日	1.073	1.373	0.00%	0.09%	0.28%	2.27%	2.65%	7.17%	23.17%	32.55%	4.08%	42.33%
385	002393	华安全球美元	9月12日	1.073	1.073	-0.09%	0.09%	0.85%	5.81%	---	---	---	---	---	7.40%
