序号	基金代码	基金简称	日期	单位净值	累计净值	日增长率	近1周	近1月	近3月	近6月	近1年	近2年	近3年	今年来	成立来
907	001568	泰达宏利增利	9月13日	1	1	0.00%	0.00%	-0.10%	---	---	---	---	---	---	0.00%
908	002657	招商安裕保本	9月13日	1.004	1.004	0.10%	0.00%	0.10%	---	---	---	---	---	---	0.30%
909	002658	招商安裕保本	9月13日	1.002	1.002	0.00%	0.00%	0.10%	---	---	---	---	---	---	0.20%
910	001922	国泰新目标收	9月13日	1.009	1.009	-0.10%	0.00%	0.60%	1.30%	1.71%	---	---	---	0.80%	1.00%
911	002145	诺安景鑫保本	9月13日	1.008	1.008	0.10%	0.00%	0.00%	0.90%	1.31%	---	---	---	0.60%	0.70%
912	002519	博时裕景纯债	9月13日	1.022	1.022	0.00%	0.00%	-0.20%	2.10%	---	---	---	---	---	2.20%
913	001582	大成景辉灵活	9月13日	1.037	1.037	0.00%	0.00%	0.19%	1.47%	1.87%	---	---	---	3.29%	3.70%
914	002857	博时保丰保本	9月9日	1.001	1.001	---	0.00%	0.00%	0.10%	---	---	---	---	---	0.10%
915	002714	鹏华金城保本	9月13日	1.006	1.006	-0.10%	0.00%	0.10%	0.70%	---	---	---	---	---	0.70%
916	002814	博时保泰保本	9月9日	1.003	1.003	---	0.00%	0.10%	---	---	---	---	---	---	0.30%
917	001912	中欧强势多策	9月9日	1.054	1.054	---	0.00%	0.48%	2.23%	2.33%	---	---	---	3.54%	5.40%
918	002304	平安大华安心	9月13日	1.013	1.013	0.00%	0.00%	0.10%	0.90%	1.10%	---	---	---	---	1.30%
919	050119	博时转债增强	9月13日	1.377	1.381	0.07%	0.00%	1.33%	1.70%	2.15%	-8.39%	45.66%	41.05%	-15.38%	37.94%
920	002458	国泰民利保本	9月13日	1.001	1.001	0.00%	0.00%	0.00%	---	---	---	---	---	---	0.10%
